KLBJ,04/19/2018,11:34am,Ramblin' Man,The Allman Brothers Band
KLBJ,04/19/2018,11:28am,New Year's Day,U2
KLBJ,04/19/2018,11:24am,Sweet Emotion,Aerosmith
KLBJ,04/19/2018,11:14am,Panama,Van Halen
KLBJ,04/19/2018,11:12am,Break On Through,The Doors
KLBJ,04/19/2018,11:04am,No More Tears,Ozzy Osbourne
KLBJ,04/19/2018,11:00am,Legs,ZZ Top
KLBJ,04/19/2018,10:49am,You Shook Me All Night Long,AC/DC
KLBJ,04/19/2018,10:46am,The Long Run,The Eagles
KLBJ,04/19/2018,10:41am,Fire Woman,The Cult
KLBJ,04/19/2018,10:37am,All Apologies,Nirvana
KLBJ,04/19/2018,10:29am,Foreplay Long Time,Boston
KLBJ,04/19/2018,10:24am,The Sky Is Crying,Stevie Ray Vaughan
KLBJ,04/19/2018,10:15am,Proud Mary,Creedence Clearwater Revival
KLBJ,04/19/2018,10:11am,Cumbersome,Seven Mary Three
KLBJ,04/19/2018,10:07am,Under Pressure,Queen
KLBJ,04/19/2018,10:03am,Hot Blooded,Foreigner
KLBJ,04/19/2018,9:57am,Simple Man,Lynyrd Skynyrd
KLBJ,04/19/2018,4:56am,Epic,Faith No More
KLBJ,04/19/2018,4:48am,Stairway To Heaven,Led Zeppelin
KLBJ,04/19/2018,4:42am,Hysteria,Def Leppard
KLBJ,04/19/2018,4:38am,Creep,Radiohead
KLBJ,04/19/2018,4:29am,Blinded by the Light,Manfred Mann's Earth Band
KLBJ,04/19/2018,4:26am,Breakdown,Tom Petty & The Heartbreakers
KLBJ,04/19/2018,4:23am,I Wanna Rock,Twisted Sister
KLBJ,04/19/2018,4:19am,Jumpin' Jack Flash,The Rolling Stones
KLBJ,04/19/2018,4:14am,Burden In My Hand,Soundgarden
KLBJ,04/19/2018,4:07am,Blaze Of Glory,Jon Bon Jovi
KLBJ,04/19/2018,4:02am,Baba O'Riley,The Who
KLBJ,04/19/2018,3:58am,China Grove,The Doobie Brothers
KLBJ,04/19/2018,3:53am,In The Air Tonight,Phil Collins
KLBJ,04/19/2018,3:49am,In Bloom,Nirvana
KLBJ,04/19/2018,3:46am,Killer Queen,Queen
KLBJ,04/19/2018,3:41am,Texas Flood,Stevie Ray Vaughan
KLBJ,04/19/2018,3:34am,Enter Sandman,Metallica
KLBJ,04/19/2018,3:30am,The One I Love,R.E.M.
